aapb id	aapb url	program title	date	notes
507-4t6f18t178	https://americanarchive.org/catalog/cpb-aacip-507-4t6f18t178	The MacNeil/Lehrer Report	1977-12-07	1970s
507-9882j68s35	https://americanarchive.org/catalog/cpb-aacip_507-9882j68s35	The MacNeil/Lehrer Report; 2119; English & Colleges	1977-02-17	
507-6w96689725	https://americanarchive.org/catalog/cpb-aacip-507-6w96689725	The MacNeil/Lehrer Report; 4040; Katherine Dunham	1976-09-14	
507-7659c6sk7z	https://americanarchive.org/catalog/cpb-aacip_507-7659c6sk7z	The MacNeil/Lehrer Report; China Business	1980-08-14	1980s
507-zw18k75z4h	https://americanarchive.org/catalog/cpb-aacip_507-zw18k75z4h	The MacNeil/Lehrer Report; 6134; Battle of the Banks	1981-01-01	
507-r785h7cp0z	https://americanarchive.org/catalog/cpb-aacip_507-r785h7cp0z	The MacNeil/Lehrer NewsHour	1984-01-19	
507-6h4cn6zk04	https://americanarchive.org/catalog/cpb-aacip_507-6h4cn6zk04	The MacNeil/Lehrer NewsHour	1987-06-03	
507-154dn40c26	https://americanarchive.org/catalog/cpb-aacip-507-154dn40c26	The MacNeil/Lehrer NewsHour	1985-09-04	
507-zk55d8pd1h	https://americanarchive.org/catalog/cpb-aacip-507-zk55d8pd1h	The MacNeil/Lehrer NewsHour	1990-02-28	1990s
507-vm42r3pt6h	https://americanarchive.org/catalog/cpb-aacip_507-vm42r3pt6h	The MacNeil/Lehrer NewsHour	1991-12-10	
507-nk3610wp6s	https://americanarchive.org/catalog/cpb-aacip-507-nk3610wp6s	The NewsHour with Jim Lehrer	1995-11-30	
507-pc2t43js98	https://americanarchive.org/catalog/cpb-aacip_507-pc2t43js98	The NewsHour with Jim Lehrer	1997-01-01	
507-1v5bc3tf81	https://americanarchive.org/catalog/cpb-aacip_507-1v5bc3tf81	The NewsHour with Jim Lehrer	1998-12-29	
507-n29p26qt59	https://americanarchive.org/catalog/cpb-aacip_507-n29p26qt59	The NewsHour with Jim Lehrer	2000-12-28	2000s
507-4746q1t25k	https://americanarchive.org/catalog/cpb-aacip_507-4746q1t25k	The NewsHour with Jim Lehrer	2001-01-02	
507-cf9j38m509	https://americanarchive.org/catalog/cpb-aacip_507-cf9j38m509	The NewsHour with Jim Lehrer	2005-01-04	
525-3b5w66b279	https://americanarchive.org/catalog/cpb-aacip_525-3b5w66b279	PBS NewsHour; December 31, 2009 7:00pm-8:00pm EST	2010-01-01	2010s
525-9g5gb1zh9b	https://americanarchive.org/catalog/cpb-aacip_525-9g5gb1zh9b	PBS NewsHour; January 4, 2011 3:00pm-4:00pm PST	2011-01-04	
525-bg2h70914g	https://americanarchive.org/catalog/cpb-aacip_525-bg2h70914g	PBS NewsHour; January 5, 2015 6:00pm-7:01pm PST	2015-01-06	
525-028pc2v94s	https://americanarchive.org/catalog/cpb-aacip-525-028pc2v94s	PBS NewsHour; January 6, 2019 5:30pm-6:01pm PST	2019-01-06	
